mkt_carrier_fl_num,frequency,relative_frequency
1680,4760,0.0002988544644681819
1211,4754,0.0002984777571600287
62,4750,0.00029822661895459327
542,4746,0.00029797548074915784
500,4746,0.00029797548074915784
813,4745,0.00029791269619779896
401,4741,0.00029766155799236353
753,4733,0.0002971592815814926
776,4729,0.0002969081433760572
342,4728,0.0002968453588246983
459,4727,0.00029678257427333943
726,4724,0.0002965942206192629
339,4724,0.0002965942206192629
400,4724,0.0002965942206192629
1202,4724,0.0002965942206192629
576,4718,0.0002962175133111097
1165,4716,0.000296091944208392
939,4711,0.00029577802145159767
1403,4708,0.0002955896677975211
2075,4704,0.00029533852959208565
19,4702,0.0002952129604893679
2091,4698,0.00029496182228393246
533,4696,0.00029483625318121474
557,4685,0.00029414562311626724
555,4680,0.00029383170035947293
1101,4677,0.0002936433467053964
1593,4675,0.0002935177776026786
562,4674,0.0002934549930513198
525,4673,0.0002933922084999609
435,4671,0.0002932666393972432
1160,4668,0.0002930782857431666
1281,4667,0.00029301550119180777
782,4664,0.00029282714753773117
302,4662,0.00029270157843501346
654,4660,0.0002925760093322957
2081,4658,0.000292450440229578
2003,4654,0.00029219930202414255
830,4653,0.00029213651747278367
559,4652,0.00029207373292142484
508,4651,0.00029201094837006595
516,4647,0.00029175981016463053
600,4645,0.00029163424106191276
615,4640,0.0002913203183051185
648,4639,0.0002912575337537596
591,4634,0.0002909436109969653
1148,4632,0.0002908180418942476
724,4630,0.0002906924727915299
815,4629,0.000290629688240171
410,4627,0.0002905041191374533
785,4627,0.0002905041191374533
1235,4623,0.0002902529809320178
763,4623,0.0002902529809320178
330,4622,0.000290190196380659
2401,4620,0.00029006462727794127
15,4615,0.00028975070452114696
682,4612,0.00028956235086707036
1153,4598,0.00028868336714804626
345,4596,0.00028855779804532855
2006,4593,0.000288369444391252
823,4589,0.0002881183061858165
475,4586,0.0002879299525317399
463,4584,0.0002878043834290222
336,4583,0.0002877415988776634
810,4574,0.0002871765379154336
609,4571,0.000286988184261357
1736,4566,0.0002866742615045627
331,4566,0.0002866742615045627
626,4563,0.00028648590785048614
310,4562,0.00028642312329912726
568,4561,0.0002863603387477684
