origin_airport_id,frequency,relative_frequency
14228,258,0.00010976402012000015
14150,258,0.00010976402012000015
15628,256,0.00010891313624310093
12773,255,0.00010848769430465131
14120,253,0.00010763681042775209
14167,250,0.00010636048461240324
11654,249,0.00010593504267395364
11415,248,0.00010550960073550402
10647,247,0.00010508415879705442
13943,247,0.00010508415879705442
14092,245,0.00010423327492015518
13625,243,0.00010338239104325596
12018,241,0.00010253150716635673
14942,241,0.00010253150716635673
16345,240,0.00010210606522790712
12932,240,0.00010210606522790712
13415,239,0.00010168062328945751
12891,237,0.00010082973941255827
11097,232,9.870252972031021e-05
16268,232,9.870252972031021e-05
13602,232,9.870252972031021e-05
12370,229,9.742620390496138e-05
12841,229,9.742620390496138e-05
16567,228,9.700076196651176e-05
10654,227,9.657532002806215e-05
14877,226,9.614987808961254e-05
12472,225,9.572443615116292e-05
14320,224,9.529899421271332e-05
11867,224,9.529899421271332e-05
11628,224,9.529899421271332e-05
16173,223,9.48735522742637e-05
14088,222,9.444811033581408e-05
15091,221,9.402266839736448e-05
11924,221,9.402266839736448e-05
10444,220,9.359722645891486e-05
11468,220,9.359722645891486e-05
15192,220,9.359722645891486e-05
11301,220,9.359722645891486e-05
15402,219,9.317178452046524e-05
10930,219,9.317178452046524e-05
11726,219,9.317178452046524e-05
15411,219,9.317178452046524e-05
15278,219,9.317178452046524e-05
14863,218,9.274634258201564e-05
14113,218,9.274634258201564e-05
12649,218,9.274634258201564e-05
11052,216,9.189545870511641e-05
10819,215,9.14700167666668e-05
10329,214,9.104457482821718e-05
11905,213,9.061913288976757e-05
10486,211,8.976824901286835e-05
11376,210,8.934280707441873e-05
15566,210,8.934280707441873e-05
12222,210,8.934280707441873e-05
13241,210,8.934280707441873e-05
14692,209,8.891736513596911e-05
11308,208,8.84919231975195e-05
10696,208,8.84919231975195e-05
14254,208,8.84919231975195e-05
13121,208,8.84919231975195e-05
15502,208,8.84919231975195e-05
12007,208,8.84919231975195e-05
10287,208,8.84919231975195e-05
12335,207,8.806648125906989e-05
10278,207,8.806648125906989e-05
12239,206,8.764103932062028e-05
10918,205,8.721559738217067e-05
14109,205,8.721559738217067e-05
10268,204,8.679015544372105e-05
12244,204,8.679015544372105e-05
14022,203,8.636471350527144e-05
14231,203,8.636471350527144e-05
13211,202,8.593927156682182e-05
10394,202,8.593927156682182e-05
11548,201,8.551382962837222e-05
14691,200,8.50883876899226e-05
10577,198,8.423750381302338e-05
10327,198,8.423750381302338e-05
12012,197,8.381206187457376e-05
16115,196,8.338661993612414e-05
11471,195,8.296117799767454e-05
12705,194,8.253573605922492e-05
12511,194,8.253573605922492e-05
12101,193,8.211029412077531e-05
11198,192,8.16848521823257e-05
13292,192,8.16848521823257e-05
11013,192,8.16848521823257e-05
14030,192,8.16848521823257e-05
14533,191,8.125941024387608e-05
13344,189,8.040852636697685e-05
10333,189,8.040852636697685e-05
16428,188,7.998308442852725e-05
10165,187,7.955764249007763e-05
13546,187,7.955764249007763e-05
10141,186,7.913220055162801e-05
12252,186,7.913220055162801e-05
11172,185,7.870675861317841e-05
12938,184,7.828131667472879e-05
15793,183,7.785587473627918e-05
14520,183,7.785587473627918e-05
15113,183,7.785587473627918e-05
